h [H]
h2 [H][H]
o [O]
o2 [O][O]
oh [OH]
h2o O
n2 N#N
ho2 O[O]
h2o2 OO
ar [Ar]
co2 O=C=O
ch2o C=O
hco O=[CH]
ch3 [CH3]
ch2 [CH2]
ch [CH]
c [C]
ch4 C
ch2(s) [CH2]
c2h6 CC
c2h5 C[CH2]
c2h4 C=C
c2h2 C#C
c3ket21 CC(=O)COO
ch3cho CC=O
co	[C]=O
c2h	[C]#C
ch3oh	CO
c3h8	CCC
c9h18-3	CCC=CCCCCC	! Confirmed by Anonymous
c9h19o2h-5	CCCCC(CCCC)OO	! Confirmed by Anonymous
c10h21o2-1	CCCCCCCCCCO[O]	! Confirmed by Anonymous
c9h19o-4	CCCCCC([O])CCC	! Confirmed by Anonymous
c10h21o2h-1	CCCCCCCCCCOO	! Confirmed by Anonymous
c14o7-8	CCCCCCC1OC1CCCCCC	! Confirmed by Anonymous
c9h19o2-4	CCCCCC(CCC)O[O]	! Confirmed by Anonymous
c14ooh7-8o2	CCCCCCC(O[O])C(CCCCCC)OO	! Confirmed by Anonymous
c11h22-5	CCCCC=CCCCCC	! Confirmed by Anonymous
c8h16-3	CCC=CCCCC	! Confirmed by Anonymous
c11h22-3	CCC=CCCCCCCC	! Confirmed by Anonymous
c9h19o2h-4	CCCCCC(CCC)OO	! Confirmed by Anonymous
c16h33o-7	CCCCCCCCCC([O])CCCCCC	! Confirmed by Anonymous
c10h21o-3	CCCCCCCC([O])CC	! Confirmed by Anonymous
c14ket7-8	CCCCCCC(=O)C(CCCCCC)OO	! Confirmed by Anonymous
c10h21o2-3	CCCCCCCC(CC)O[O]	! Confirmed by Anonymous
neoc5h11o2	CC(C)(C)CO[O]	! Confirmed by Anonymous
c10h21o2h-3	CCCCCCCC(CC)OO	! Confirmed by Anonymous
c16h33o2h-7	CCCCCCCCCC(CCCCCC)OO	! Confirmed by Anonymous
bc5h11o2h	CCC(C)(C)OO	! Confirmed by Anonymous
neoc5h11o2h	CC(C)(C)COO	! Confirmed by Anonymous
c16h33o2-7	CCCCCCCCCC(CCCCCC)O[O]	! Confirmed by Anonymous
c13h27-5	CCCC[CH]CCCCCCCC	! Confirmed by Anonymous
c13h27-2	C[CH]CCCCCCCCCCC	! Confirmed by Anonymous
c16h33-2	C[CH]CCCCCCCCCCCCCC	! Confirmed by Anonymous
c9h19-3	CC[CH]CCCCCC	! Confirmed by Anonymous
c12h25-2	C[CH]CCCCCCCCCC	! Confirmed by Anonymous
c13h27-3	CC[CH]CCCCCCCCCC	! Confirmed by Anonymous
c10h20-1	C=CCCCCCCCC	! Confirmed by Anonymous
c5h10cho-2	C[CH]CCCC=O	! Confirmed by Anonymous
c16h33-4	CCC[CH]CCCCCCCCCCCC	! Confirmed by Anonymous
c8h17-4	CCC[CH]CCCC	! Confirmed by Anonymous
c12h25-3	CC[CH]CCCCCCCCC	! Confirmed by Anonymous
c13h27-7	CCCCCC[CH]CCCCCC	! Confirmed by Anonymous
c10h20-2	CC=CCCCCCCC	! Confirmed by Anonymous
c16h32-7	CCCCCCC=CCCCCCCCC	! Confirmed by Anonymous
nc6h13co	CCCCCC[C]=O	! Confirmed by Anonymous
c9h19-2	C[CH]CCCCCCC	! Confirmed by Anonymous
c13h26-2	CC=CCCCCCCCCCC	! Confirmed by Anonymous
c9h18-2	CC=CCCCCCC	! Confirmed by Anonymous
c16h33o-2	CCCCCCCCCCCCCCC(C)[O]	! Confirmed by Anonymous
c13h27o-5	CCCCCCCCC([O])CCCC	! Confirmed by Anonymous
c10h20-3	CCC=CCCCCCC	! Confirmed by Anonymous
c12h24-2	CC=CCCCCCCCCC	! Confirmed by Anonymous
c12h25-4	CCC[CH]CCCCCCCC	! Confirmed by Anonymous
c13h27o-3	CCCCCCCCCCC([O])CC	! Confirmed by Anonymous
c13h27o-2	CCCCCCCCCCCC(C)[O]	! Confirmed by Anonymous
c12h25o-2	CCCCCCCCCCC(C)[O]	! Confirmed by Anonymous
c9h19o-3	CCCCCCC([O])CC	! Confirmed by Anonymous
c8h16-4	CCCC=CCCC	! Confirmed by Anonymous
c16h33o-4	CCCCCCCCCCCCC([O])CCC	! Confirmed by Anonymous
c12h25o-3	CCCCCCCCCC([O])CC	! Confirmed by Anonymous
c8h17o-4	CCCCC([O])CCC	! Confirmed by Anonymous
c13h26-5	CCCCC=CCCCCCCC	! Confirmed by Anonymous
c13h26-6	CCCCCC=CCCCCCC	! Confirmed by Anonymous
c13h27o-7	CCCCCCC([O])CCCCCC	! Confirmed by Anonymous
c13h27o2-7	CCCCCCC(CCCCCC)O[O]	! Confirmed by Anonymous
c16h33o2-4	CCCCCCCCCCCCC(CCC)O[O]	! Confirmed by Anonymous
c12h25o2-3	CCCCCCCCCC(CC)O[O]	! Confirmed by Anonymous
c16h32-8	CCCCCCCC=CCCCCCCC	! Confirmed by Anonymous
c12h24-3	CCC=CCCCCCCCC	! Confirmed by Anonymous
