// The format for the data in this rate library
Arrhenius_EP

701   Others-R3H_SS           Others-C_rad_out_Cs2    Cs_H_out_H/NonDeC       300-1500       1.71e+07      1.41      0.00       36.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
702   Others-R3H_SS           Others-C_rad_out_Cs2    Others-Cs_H_out_Cs2     300-1500       6.78e+08      1.00      0.00       35.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
703   R3H_DS                  Cd_rad_out_singleH      Cs_H_out_2H             300-1500       5.10e+09      0.97      0.00       37.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
704   R3H_SD                  C_rad_out_2H            Cd_H_out_singleH        300-1500       2.11e+11      0.58      0.00       38.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
705   R3H_DS                  Cd_rad_out_singleH      Cs_H_out_H/NonDeC       300-1500       9.23e+09      0.74      0.00       34.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
706   R3H_SD                  C_rad_out_H/NonDeC      Cd_H_out_singleH        300-1500       4.16e+10      0.77      0.00       64.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
707   R3H_DS                  Cd_rad_out_singleH      Others-Cs_H_out_Cs2     300-1500       6.04e+10      0.59      0.00       32.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
708   R3H_SD                  Others-C_rad_out_Cs2    Cd_H_out_singleH        300-1500       8.53e+08      1.27      0.00       63.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
709   R3H_DS                  Cd_rad_out_singleNd     Cs_H_out_2H             300-1500       2.58e+09      1.08      0.00       38.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
710   R3H_SD                  C_rad_out_2H            Cd_H_out_singleNd       300-1500       1.91e+11      0.63      0.00       61.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
711   R3H_DS                  Cd_rad_out_singleNd     Cs_H_out_H/NonDeC       300-1500       5.91e+09      0.86      0.00       35.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
712   R3H_SD                  C_rad_out_H/NonDeC      Cd_H_out_singleNd       300-1500       3.96e+10      0.83      0.00       61.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
713   R3H_DS                  Cd_rad_out_singleNd     Others-Cs_H_out_Cs2     300-1500       8.05e+09      0.86      0.00       33.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
714   R3H_SD                  Others-C_rad_out_Cs2    Cd_H_out_singleNd       300-1500       6.05e+10      0.79      0.00       61.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
715   Others-R3H_SS           Cd_rad_out_double       Cs_H_out_2H             300-1500       7.68e+08      1.24      0.00       36.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
716   Others-R3H_SS           C_rad_out_2H            Cd_H_out_doubleC        300-1500       3.24e+08      1.14      0.00       41.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
717   Others-R3H_SS           Cd_rad_out_double       Cs_H_out_H/NonDeC       300-1500       1.66e+09      0.99      0.00       33.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
718   Others-R3H_SS           C_rad_out_H/NonDeC      Cd_H_out_doubleC        300-1500       3.37e+07      1.41      0.00       42.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
719   Others-R3H_SS           Cd_rad_out_double       Others-Cs_H_out_Cs2     300-1500       1.10e+10      0.78      0.00       31.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
720   Others-R3H_SS           Others-C_rad_out_Cs2    Cd_H_out_doubleC        300-1500       3.50e+06      1.68      0.00       42.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
721   R3H_SS_2Cd              C_rad_out_2H            Cs_H_out_2H             300-1500       3.93e+09      1.26      0.00       52.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
722   R3H_SS_2Cd              C_rad_out_2H            Cs_H_out_H/NonDeC       300-1500       4.20e+10      0.82      0.00       49.20 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
723   R3H_SS_2Cd              C_rad_out_H/NonDeC      Cs_H_out_2H             300-1500       5.64e+08      1.47      0.00       53.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
724   R3H_SS_2Cd              C_rad_out_2H            Others-Cs_H_out_Cs2     300-1500       1.43e+11      0.65      0.00       47.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
725   R3H_SS_2Cd              Others-C_rad_out_Cs2    Cs_H_out_2H             300-1500       7.12e+07      1.72      0.00       51.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
726   R3H_SS_2Cd              C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       1.21e+10      0.91      0.00       49.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
727   R3H_SS_2Cd              C_rad_out_H/NonDeC      Others-Cs_H_out_Cs2     300-1500       3.46e+10      0.76      0.00       47.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
728   R3H_SS_2Cd              Others-C_rad_out_Cs2    Cs_H_out_H/NonDeC       300-1500       6.14e+10      0.80      0.00       48.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
729   R3H_SS_2Cd              Others-C_rad_out_Cs2    Others-Cs_H_out_Cs2     300-1500       1.76e+09      1.18      0.00       43.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
730   Others-R3H_SS           C_rad_out_H/OneDe       Cs_H_out_2H             300-1500       3.80e+09      0.99      0.00       48.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
731   Others-R3H_SS           C_rad_out_2H            Cs_H_out_H/OneDe        300-1500       1.66e+08      1.10      0.00       29.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
732   Others-R3H_SS           C_rad_out_H/OneDe       Cs_H_out_H/NonDeC       300-1500       6.77e+09      0.74      0.00       46.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
733   Others-R3H_SS           C_rad_out_H/NonDeC      Cs_H_out_H/OneDe        300-1500       3.41e+09      0.73      0.00       30.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
734   Others-R3H_SS           C_rad_out_H/OneDe       Others-Cs_H_out_Cs2     300-1500       9.06e+10      0.44      0.00       43.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
735   Others-R3H_SS           Others-C_rad_out_Cs2    Cs_H_out_H/OneDe        300-1500       6.40e+06      1.56      0.00       30.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
736   R3H_SS_12cy3            C_rad_out_H/NonDeC      Cs_H_out_2H             300-1500       2.62e+10      0.69      0.00       35.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
737   R3H_SS_23cy3            C_rad_out_2H            Cs_H_out_H/NonDeC       300-1500       1.04e+10      0.71      0.00       34.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
738   R3H_SS_12cy3            C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       3.16e+11      0.26      0.00       33.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
739   R3H_SS_23cy3            C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       5.63e+08      1.01      0.00       45.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
740   R3H_SS_12cy3            C_rad_out_H/NonDeC      Others-Cs_H_out_Cs2     300-1500       2.26e+13      0.26      0.00       32.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
741   R3H_SS_23cy3            Others-C_rad_out_Cs2    Cs_H_out_H/NonDeC       300-1500       2.68e+07      1.42      0.00       46.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
742   Others-R3H_SS           C_rad_out_Cs2_cy3       Cs_H_out_2H             300-1500       1.78e+09      1.04      0.00       36.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
743   Others-R3H_SS           C_rad_out_2H            Cs_H_out_Cs2_cy3        300-1500       9.72e+09      0.78      0.00       39.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
744   Others-R3H_SS           C_rad_out_Cs2_cy3       Cs_H_out_H/NonDeC       300-1500       3.39e+09      0.77      0.00       33.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
745   Others-R3H_SS           C_rad_out_H/NonDeC      Cs_H_out_Cs2_cy3        300-1500       1.73e+08      1.14      0.00       40.40 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
746   Others-R3H_SS           C_rad_out_Cs2_cy3       Others-Cs_H_out_Cs2     300-1500       9.08e+10      0.36      0.00       31.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
747   Others-R3H_SS           Others-C_rad_out_Cs2    Cs_H_out_Cs2_cy3        300-1500       3.86e+06      1.65      0.00        0.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
748   R3H_SS_12cy4            C_rad_out_H/NonDeC      Cs_H_out_2H             300-1500       2.90e+10      0.57      0.00       39.80 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
749   R3H_SS_23cy4            C_rad_out_2H            Cs_H_out_H/NonDeC       300-1500       3.43e+09      0.93      0.00       38.30 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
750   R3H_SS_12cy4            C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       1.90e+11      0.27      0.00       37.90 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
751   R3H_SS_23cy4            C_rad_out_H/NonDeC      Cs_H_out_H/NonDeC       300-1500       2.59e+08      1.20      0.00       39.70 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
752   R3H_SS_12cy4            C_rad_out_H/NonDeC      Others-Cs_H_out_Cs2     300-1500       1.63e+12     -0.04      0.00       37.00 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
753   R3H_SS_23cy4            Others-C_rad_out_Cs2    Cs_H_out_H/NonDeC       300-1500       2.19e+07      1.55      0.00       40.10 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
754   Others-R3H_SS           C_rad_out_Cs2_cy4       Cs_H_out_2H             300-1500       1.08e+08      1.25      0.00       39.60 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
755   Others-R3H_SS           C_rad_out_2H            Cs_H_out_Cs2_cy4        300-1500       5.09e+09      0.84      0.00       34.50 0            0      0      0     2        Sumathy B3LYP/CCPVDZ calculations
